timestamp,open,high,low,close,volume,trade_count,vwap,Date,Time
2025-08-11 09:30:00,637.47,637.76,636.88,637.59,3275035.0,50399.0,637.351275,2025-08-11,09:30:00
2025-08-11 09:45:00,637.59,637.69,636.89,637.69,2121489.0,32198.0,637.370417,2025-08-11,09:45:00
2025-08-11 10:00:00,637.68,637.935,637.34,637.49,2017632.0,37743.0,637.657684,2025-08-11,10:00:00
2025-08-11 10:15:00,637.49,637.97,637.2,637.2501,1780085.0,28574.0,637.583554,2025-08-11,10:15:00
2025-08-11 10:30:00,637.2419,637.43,637.03,637.265,1966417.0,24527.0,637.21575,2025-08-11,10:30:00
2025-08-11 10:45:00,637.27,637.338,636.57,636.78,1786932.0,25052.0,636.886607,2025-08-11,10:45:00
2025-08-11 11:00:00,636.77,637.16,636.53,637.15,1747048.0,22217.0,636.789108,2025-08-11,11:00:00
2025-08-11 11:15:00,637.15,637.3,636.98,637.09,1345494.0,20059.0,637.13339,2025-08-11,11:15:00
2025-08-11 11:30:00,637.095,637.19,636.7899,637.06,1334895.0,20384.0,637.004415,2025-08-11,11:30:00
2025-08-11 11:45:00,637.06,637.89,636.94,637.86,1305137.0,19915.0,637.486986,2025-08-11,11:45:00
2025-08-11 12:00:00,637.87,638.95,637.79,638.6,2920439.0,29013.0,638.44885,2025-08-11,12:00:00
2025-08-11 12:15:00,638.6,638.655,638.3,638.55,1401815.0,17831.0,638.495525,2025-08-11,12:15:00
2025-08-11 12:30:00,638.54,638.61,637.36,637.4,1429672.0,18645.0,638.006855,2025-08-11,12:30:00
2025-08-11 12:45:00,637.37,637.8,637.32,637.3301,1422198.0,18127.0,637.527777,2025-08-11,12:45:00
2025-08-11 13:00:00,637.33,637.61,637.11,637.12,1292363.0,15206.0,637.396115,2025-08-11,13:00:00
2025-08-11 13:15:00,637.12,637.3451,636.91,637.185,1047564.0,14312.0,637.147038,2025-08-11,13:15:00
2025-08-11 13:30:00,637.18,637.42,636.4,636.78,1513575.0,21838.0,636.899386,2025-08-11,13:30:00
2025-08-11 13:45:00,636.8,637.05,636.42,636.8019,1175318.0,15600.0,636.805571,2025-08-11,13:45:00
2025-08-11 14:00:00,636.81,636.88,636.28,636.58,2124778.0,21037.0,636.578434,2025-08-11,14:00:00
2025-08-11 14:15:00,636.59,636.87,636.31,636.49,1985220.0,22794.0,636.611777,2025-08-11,14:15:00
2025-08-11 14:30:00,636.5,636.8799,635.69,635.69,1588253.0,17117.0,636.573722,2025-08-11,14:30:00
2025-08-11 14:45:00,635.69,636.655,635.56,636.51,1554923.0,18305.0,636.240944,2025-08-11,14:45:00
2025-08-11 15:00:00,636.5,636.64,636.33,636.35,947622.0,14629.0,636.495553,2025-08-11,15:00:00
2025-08-11 15:15:00,636.355,636.53,635.995,636.262,1191100.0,16820.0,636.298375,2025-08-11,15:15:00
2025-08-11 15:30:00,636.25,636.38,635.925,636.07,1917079.0,23377.0,636.114648,2025-08-11,15:30:00
2025-08-11 15:45:00,636.06,636.1,634.66,635.83,10976400.0,74624.0,635.433276,2025-08-11,15:45:00
2025-08-11 16:00:00,635.84,635.99,635.52,635.56,3819721.0,6545.0,635.833576,2025-08-11,16:00:00
2025-08-12 09:30:00,638.28,639.875,637.84,638.17,5326245.0,65074.0,638.94774,2025-08-12,09:30:00
2025-08-12 09:45:00,638.18,638.86,636.97,637.34,4982256.0,60701.0,637.873344,2025-08-12,09:45:00
2025-08-12 10:00:00,637.36,638.98,636.79,638.93,3256880.0,47293.0,637.959926,2025-08-12,10:00:00
2025-08-12 10:15:00,638.94,639.5506,638.65,639.29,2448117.0,38176.0,639.19737,2025-08-12,10:15:00
2025-08-12 10:30:00,639.29,639.46,638.86,639.39,2014660.0,31673.0,639.137534,2025-08-12,10:30:00
2025-08-12 10:45:00,639.4,640.23,639.105,639.875,2402544.0,35493.0,639.755227,2025-08-12,10:45:00
2025-08-12 11:00:00,639.87,640.8,639.825,640.5445,2544709.0,34557.0,640.442401,2025-08-12,11:00:00
2025-08-12 11:15:00,640.55,641.03,640.27,640.48,2215212.0,32348.0,640.719671,2025-08-12,11:15:00
2025-08-12 11:30:00,640.47,641.04,640.31,640.93,1903659.0,28362.0,640.743458,2025-08-12,11:30:00
2025-08-12 11:45:00,640.925,641.27,640.638,641.23,1491660.0,23863.0,640.969685,2025-08-12,11:45:00
2025-08-12 12:00:00,641.23,641.23,640.86,641.03,1055677.0,18555.0,641.058125,2025-08-12,12:00:00
2025-08-12 12:15:00,641.03,641.5,640.97,641.3793,1383721.0,19296.0,641.244675,2025-08-12,12:15:00
2025-08-12 12:30:00,641.38,641.63,641.37,641.5,1138881.0,16630.0,641.502211,2025-08-12,12:30:00
2025-08-12 12:45:00,641.5,641.99,641.49,641.7,1508538.0,20468.0,641.760762,2025-08-12,12:45:00
2025-08-12 13:00:00,641.7,641.7855,641.435,641.65,1290206.0,15819.0,641.620805,2025-08-12,13:00:00
2025-08-12 13:15:00,641.66,641.845,641.4918,641.54,977295.0,13743.0,641.678274,2025-08-12,13:15:00
