open,high,low,close,volume,trade_count,vwap,Time,return,ewma
265.18,267.34,265.08,265.575,1019730.0,20488.0,265.845923,09:30:00,0.001489554265027504,265.575
265.61,266.2,264.94,265.72,439236.0,9160.0,265.532241,09:35:00,0.0005459851266123028,265.65052083333336
265.7115,266.1,265.36,265.865,432142.0,9179.0,265.669545,09:40:00,0.0005456871895226367,265.728050896472
265.89,267.1,265.855,266.93,701203.0,11639.0,266.544452,09:45:00,0.004005792413442899,266.0670972342577
266.91,266.925,266.21,266.54,474460.0,9256.0,266.496003,09:50:00,-0.0014610572060089755,266.1780686946916
266.54,266.66,265.65,265.98,259088.0,5140.0,266.066769,09:55:00,-0.0021009979740376217,266.13781543190555
266.0,266.01,265.52,265.81,400050.0,7898.0,265.67794,10:00:00,-0.0006391458004362249,266.0785029068276
265.8,266.09,265.58,265.705,303786.0,5499.0,265.813304,10:05:00,-0.00039501899853289224,266.0171196055916
265.73,266.16,265.08,265.24,303429.0,5747.0,265.638653,10:10:00,-0.0017500611580510972,265.89933821536516
265.23,266.04,265.21,265.82,218800.0,4592.0,265.765916,10:15:00,0.0021866988387875264,265.8881166317949
265.8,265.95,265.45,265.735,213820.0,4166.0,265.721045,10:20:00,-0.0003197652546835794,265.86771341198676
265.735,265.93,265.47,265.64,194827.0,3922.0,265.65312,10:25:00,-0.0003574990121738564,265.83890413694064
265.64,265.82,265.04,265.555,256945.0,6035.0,265.501142,10:30:00,-0.00031998193043203393,265.80458235900164
265.54,265.74,265.3404,265.59,179229.0,4057.0,265.498012,10:35:00,0.00013179943891095114,265.77966016091705
265.63,266.2,265.44,266.1522,150318.0,3372.0,265.751015,10:40:00,0.002116796566135948,265.821418713144
266.18,266.56,265.9603,266.26,187050.0,4010.0,266.24976,10:45:00,0.0004050314068415606,265.86905134776123
266.29,266.3,265.58,265.82,204951.0,3943.0,265.829463,10:50:00,-0.0016525200931419848,265.8638722235727
265.84,266.75,265.83,266.37,329970.0,4743.0,266.283069,10:55:00,0.002069069295011605,265.91597892328707
266.35,266.9599,266.145,266.78,204104.0,3693.0,266.590633,11:00:00,0.0015392123737656416,266.0029355364043
266.76,266.84,266.52,266.665,142371.0,3100.0,266.654747,11:05:00,-0.0004310667966113124,266.0682193051585
266.6695,267.0399,266.5,266.64,190953.0,4162.0,266.813835,11:10:00,-9.375058594129904e-05,266.1235706329563
266.67,266.72,266.43,266.65,179916.0,4050.0,266.597288,11:15:00,3.750375037503417e-05,266.17368946223866
266.63,266.88,266.5,266.77,158307.0,2927.0,266.679655,11:20:00,0.0004500281267578732,266.22961104394835
266.775,267.18,266.77,267.07,169210.0,3425.0,266.978011,11:25:00,0.0011245642313604254,266.30735092683625
267.07,267.25,266.83,267.0,271464.0,2739.0,267.005511,11:30:00,-0.0002621035683528783,266.37063286590967
267.03,267.305,266.9301,267.065,136380.0,2789.0,267.168228,11:35:00,0.0002434456928839257,266.4333590635653
267.04,267.59,267.03,267.57,191336.0,3734.0,267.313694,11:40:00,0.0018909254301386902,266.534987996325
267.54,267.67,267.3005,267.49,171804.0,3544.0,267.490923,11:45:00,-0.00029898718092458143,266.6195810285738
267.5,267.72,266.96,267.12,239180.0,4425.0,267.382203,11:50:00,-0.0013832292795992185,266.6635301347485
267.13,267.3,267.0,267.21,180570.0,2855.0,267.134262,11:55:00,0.00033692722371947426,266.7111510277815
267.205,267.4077,267.09,267.14,171957.0,3204.0,267.262263,12:00:00,-0.0002619662437782777,266.74825707179167
267.14,267.26,266.93,267.25,126744.0,2917.0,267.124276,12:05:00,0.00041176910983020676,266.7913888228047
267.25,267.37,267.175,267.25,114586.0,2796.0,267.262312,12:10:00,0.0,266.8305790780998
267.21,267.2998,266.9801,267.2232,108113.0,2862.0,267.168102,12:15:00,-0.00010028063610845184,266.8639481862565
267.215,267.76,267.18,267.61,213967.0,3659.0,267.488431,12:20:00,0.0014474791110952179,266.92704074336314
267.6,267.805,267.51,267.5874,129992.0,2601.0,267.630977,12:25:00,-8.445125369016537e-05,266.98263242478765
267.63,267.99,267.525,267.925,134932.0,2555.0,267.827017,12:30:00,0.0012616438591652734,267.06163415059495
267.93,268.085,267.7,267.78,177916.0,3301.0,267.875997,12:35:00,-0.0005411962302884765,267.12162711890625
267.78,267.82,267.3301,267.675,214128.0,3828.0,267.642949,12:40:00,-0.0003921129285232583,267.167679224573
267.68,267.75,267.38,267.74,128872.0,2605.0,267.548769,12:45:00,0.00024283179228534735,267.21515527973963
267.74,267.785,267.46,267.67,149920.0,2753.0,267.626411,12:50:00,-0.00026144767311564454,267.2527751627909
267.68,267.8,267.56,267.66,110231.0,2433.0,267.66543,12:55:00,-3.7359435125283724e-05,267.2863654334873
267.61,268.03,267.575,268.03,167209.0,2743.0,267.827857,13:00:00,0.001382350743480254,267.3475526335429
268.03,268.03,267.7104,267.75,104177.0,2247.0,267.831353,13:05:00,-0.0010446591799424532,267.38059114593807
267.76,267.93,267.68,267.9266,86062.0,1926.0,267.809254,13:10:00,0.0006595704948646475,267.4253215292549
267.9062,268.3,267.84,268.225,111779.0,2577.0,268.089923,13:15:00,0.001113737867012965,267.49070744799474
268.19,268.41,268.12,268.215,162919.0,2964.0,268.271363,13:20:00,-3.728213253817447e-05,267.54982505942223
268.21,268.4599,268.11,268.32,165789.0,2953.0,268.316084,13:25:00,0.00039147698674568687,267.6125858989595
268.34,268.6724,268.26,268.61,131281.0,3327.0,268.473219,13:30:00,0.0010807990459154038,267.69374339713414
268.61,268.82,268.59,268.65,149962.0,2960.0,268.716908,13:35:00,0.0001489147835149751,267.77144570624944
268.635,268.7686,268.54,268.75,180441.0,2217.0,268.660283,13:40:00,0.00037223152801058035,267.8508600489607
268.75,268.78,268.57,268.615,104982.0,2192.0,268.651698,13:45:00,-0.0005023255813952909,267.9128021178366
268.61,268.71,268.41,268.51,177598.0,2948.0,268.578238,13:50:00,-0.00039089403048975235,267.9611603536826
268.5,268.9188,268.27,268.8396,156216.0,2882.0,268.583997,13:55:00,0.0012275148039180284,268.0322229037297
268.82,269.37,268.77,269.3125,176101.0,3472.0,269.068689,14:00:00,0.0017590414507386853,268.1356998814342
269.3125,269.3899,269.0,269.265,191620.0,3196.0,269.214125,14:05:00,-0.00017637502900913482,268.22689917384116
269.2638,269.38,269.1,269.27,175892.0,3214.0,269.245281,14:10:00,1.856906764707844e-05,268.31107348927566
269.26,269.47,268.95,269.29,226357.0,3674.0,269.266701,14:15:00,7.427489137312726e-05,268.3900142169449
269.3,269.535,269.18,269.445,217617.0,3801.0,269.399525,14:20:00,0.0005755876564297324,268.47503395084624
269.45,269.77,269.3402,269.47,255556.0,5011.0,269.587322,14:25:00,9.27833138488765e-05,268.5551696229684
269.485,269.64,269.27,269.405,179351.0,3216.0,269.446354,14:30:00,-0.00024121423535106157,268.62357888956586
269.4,269.52,269.14,269.45,163199.0,3121.0,269.366725,14:35:00,0.00016703476178991927,268.6900706842102
269.44,270.26,269.43,270.03,288255.0,5476.0,269.890045,14:40:00,0.0021525329374652014,268.79782877487236
270.04,270.22,269.69,269.69,227148.0,3863.0,269.953918,14:45:00,-0.0012591193571084291,268.86954765992067
269.65,269.96,269.45,269.4894,160599.0,2623.0,269.719117,14:50:00,-0.0007438169750454415,268.9193564008235
269.47,269.7,269.33,269.337,115823.0,2265.0,269.523129,14:55:00,-0.0005655138940530158,268.952904556258
269.32,269.3296,269.01,269.11,161450.0,3008.0,269.109377,15:00:00,-0.0008428103082753768,268.96551947080775
269.12,269.425,269.08,269.32,165754.0,2769.0,269.279877,15:05:00,0.0007803500427334686,268.99397603249804
269.315,269.315,268.6,268.91,174139.0,3364.0,268.959345,15:10:00,-0.0015223525917122949,268.98723657100174
268.92,269.24,268.81,269.1285,150252.0,2958.0,269.065996,15:15:00,0.0008125395113605105,268.99857072314717
269.12,269.27,268.631,268.72,168251.0,3348.0,268.928435,15:20:00,-0.0015178622851164114,268.9762250683933
268.72,268.871,268.6,268.84,183495.0,3166.0,268.757244,15:25:00,0.00044656147662980317,268.9653000765382
268.84,268.95,268.63,268.94,189671.0,3538.0,268.769346,15:30:00,0.00037196845707487824,268.9632714603051
268.95,269.4,268.88,269.36,221542.0,4032.0,269.166091,15:35:00,0.001561686621551317,268.9950762388803
269.35,269.53,269.19,269.5,186578.0,3972.0,269.347149,15:40:00,0.0005197505197505059,269.03554798625464
269.5,269.88,269.34,269.87,255955.0,5032.0,269.633855,15:45:00,0.0013729128014843273,269.10242248841024
269.9,270.47,269.84,270.3975,741791.0,14241.0,270.118405,15:50:00,0.0019546448289915475,269.2061976385126
270.38,270.8,269.81,269.84,1208693.0,20567.0,269.964784,15:55:00,-0.0020617794173393156,269.2569778855088
269.93,269.93,269.31,269.67,3532905.0,817.0,269.928916,16:00:00,-0.0006300029647197114,269.2900652479136
270.16,271.38,269.89,270.775,1251330.0,18380.0,270.410149,09:30:00,0.003018965772707105,269.4090108187477
270.79,270.79,269.46,269.51,528727.0,9648.0,270.079308,09:35:00,-0.004671775459329619,269.4170993870263
269.5,270.176,269.05,270.1,450111.0,8817.0,269.556083,09:40:00,0.0021891581017403627,269.4717901195067
270.106,270.106,268.8,269.25,385002.0,7801.0,269.310461,09:45:00,-0.003146982599037451,269.45402937716614
269.25,269.255,268.18,268.71,360483.0,7313.0,268.670376,09:50:00,-0.002005571030640696,269.394452920153
268.7043,269.35,267.97,268.26,397495.0,8355.0,268.498482,09:55:00,-0.0016746678575415563,269.303620793001
268.3,268.55,267.53,268.48,323776.0,6100.0,268.019841,10:00:00,0.0008200999030791856,269.23768044164814
268.455,269.02,268.2,268.9,260118.0,5923.0,268.68514,10:05:00,0.0015643623361143444,269.21064688824333
268.9,268.983,268.11,268.455,264927.0,5045.0,268.430373,10:10:00,-0.0016548902937895127,269.1501557803326
268.46,268.46,267.81,267.985,201824.0,4854.0,268.038606,10:15:00,-0.0017507589726396544,269.0568874900886
267.99,268.52,267.93,268.174,242771.0,4923.0,268.258439,10:20:00,0.0007052633542921072,268.98621757391
268.16,268.18,267.71,268.01,189054.0,4019.0,267.926371,10:25:00,-0.0006115432517693753,268.9080805813263
268.02,268.23,267.92,268.12,173270.0,3629.0,268.070826,10:30:00,0.0004104324465505904,268.84500473509974
268.115,268.44,267.815,267.83,185029.0,3821.0,268.187744,10:35:00,-0.0010816052513800134,268.76376952157614
267.83,267.92,267.56,267.725,228133.0,3780.0,267.749703,10:40:00,-0.00039203972669210607,268.6806351626837
267.7,267.79,267.5,267.74,230959.0,3936.0,267.659103,10:45:00,5.6027640302547255e-05,268.60535702767146
267.73,267.79,267.37,267.72,325531.0,4871.0,267.600968,10:50:00,-7.469933517589844e-05,268.53450480708386
267.7291,267.83,267.22,267.435,263452.0,4793.0,267.616943,10:55:00,-0.0010645450470642137,268.44651739290543
267.43,268.045,267.31,267.9,191864.0,4124.0,267.700567,11:00:00,0.0017387402546411579,268.4027836413209
267.92,268.41,267.92,268.265,154806.0,3135.0,268.243482,11:05:00,0.001362448674878669,268.39175808322784
268.28,268.4672,267.894,268.105,156663.0,3330.0,268.167045,11:10:00,-0.0005964251765976369,268.3688119475815
268.13,268.36,267.91,268.32,129138.0,2923.0,268.122576,11:15:00,0.000801924619085792,268.3649061322029
268.32,268.34,267.865,267.865,114977.0,2726.0,268.121251,11:20:00,-0.0016957364341084746,268.3249055427501
267.8796,268.2245,267.84,268.0,176011.0,3709.0,268.074279,11:25:00,0.0005039852164336889,268.2989082567789
267.9905,267.9905,267.67,267.77,162265.0,3643.0,267.806671,11:30:00,-0.0008582089552239269,268.25658834388565
267.77,268.09,267.47,267.91,159428.0,3067.0,267.798802,11:35:00,0.0005228367628937747,268.2288569042325
267.91,268.16,267.74,267.9525,164443.0,3456.0,267.909572,11:40:00,0.0001586353626217285,268.2067451446425
267.945,268.12,267.59,267.62,112366.0,2644.0,267.80895,11:45:00,-0.0012408915759322126,268.1597992684476
267.63,267.74,267.442,267.4873,143141.0,2921.0,267.583047,11:50:00,-0.0004958523279277038,268.105992721247
267.48,267.51,267.3,267.4045,102232.0,2611.0,267.389207,11:55:00,-0.00030954740654987045,268.04986696433355
267.41,267.585,267.28,267.335,143418.0,3232.0,267.41507,12:00:00,-0.00025990587293778233,267.99267166397306
267.3479,267.75,267.3479,267.74,185017.0,3004.0,267.506563,12:05:00,0.0015149531486713386,267.97245599827784
