timestamp,open,high,low,close,volume,trade_count,vwap,Time
2025-10-27 09:30:00,299.5,299.8,297.26,297.75,350495.0,7599.0,298.634523,09:30:00
2025-10-27 09:35:00,297.61,298.89,296.33,298.095,196597.0,4738.0,297.736116,09:35:00
2025-10-27 09:40:00,298.35,299.19,296.0807,297.52,164476.0,4113.0,297.474574,09:40:00
2025-10-27 09:45:00,297.475,298.35,297.22,297.7718,119530.0,2896.0,297.706039,09:45:00
2025-10-27 09:50:00,297.62,299.15,296.8,298.13,115745.0,2815.0,298.100122,09:50:00
2025-10-27 09:55:00,298.19,298.8,296.83,296.83,102127.0,2560.0,297.825852,09:55:00
2025-10-27 10:00:00,296.905,297.245,296.02,296.215,108701.0,2801.0,296.657522,10:00:00
2025-10-27 10:05:00,296.35,296.45,295.12,295.78,127109.0,3052.0,295.809348,10:05:00
2025-10-27 10:10:00,295.83,296.2,294.82,295.605,113294.0,2692.0,295.504089,10:10:00
2025-10-27 10:15:00,295.7631,295.7631,294.79,294.94,60234.0,1924.0,295.237471,10:15:00
2025-10-27 10:20:00,294.9,296.0,294.54,295.745,56596.0,1634.0,295.224544,10:20:00
2025-10-27 10:25:00,295.84,296.02,294.78,295.86,75442.0,2004.0,295.428498,10:25:00
2025-10-27 10:30:00,295.87,296.36,295.0,295.9,61824.0,2088.0,295.746417,10:30:00
2025-10-27 10:35:00,295.8949,296.42,295.69,296.1433,42519.0,1449.0,296.082615,10:35:00
2025-10-27 10:40:00,296.085,296.45,295.1001,295.18,57382.0,1583.0,295.824615,10:40:00
2025-10-27 10:45:00,295.35,295.35,293.8,294.065,98820.0,2183.0,294.51038,10:45:00
2025-10-27 10:50:00,294.0,294.569,293.55,293.87,70144.0,1550.0,293.897688,10:50:00
2025-10-27 10:55:00,293.94,294.57,293.63,293.87,78076.0,1837.0,294.036822,10:55:00
2025-10-27 11:00:00,293.98,294.09,293.15,293.44,78741.0,1924.0,293.652203,11:00:00
2025-10-27 11:05:00,293.55,294.185,293.0001,293.49,44239.0,1520.0,293.458396,11:05:00
2025-10-27 11:10:00,293.58,294.64,293.58,294.32,53032.0,1544.0,294.232649,11:10:00
2025-10-27 11:15:00,294.415,294.7839,293.64,294.7697,48720.0,1520.0,294.298922,11:15:00
2025-10-27 11:20:00,294.65,294.79,294.17,294.425,44387.0,1127.0,294.454917,11:20:00
2025-10-27 11:25:00,294.66,294.88,294.19,294.47,46569.0,1177.0,294.5652,11:25:00
2025-10-27 11:30:00,294.47,294.86,294.29,294.4,46522.0,1213.0,294.620595,11:30:00
2025-10-27 11:35:00,294.44,294.93,293.9786,294.83,40243.0,1134.0,294.614184,11:35:00
2025-10-27 11:40:00,294.765,295.07,294.3419,294.42,53219.0,1394.0,294.812106,11:40:00
2025-10-27 11:45:00,294.42,294.63,294.2,294.542,39661.0,1120.0,294.426179,11:45:00
2025-10-27 11:50:00,294.4,294.5993,293.97,294.15,55040.0,1158.0,294.249236,11:50:00
2025-10-27 11:55:00,294.0983,295.2499,294.09,295.06,37399.0,1216.0,294.880676,11:55:00
