timestamp,open,high,low,close,volume,trade_count,vwap,Time
2025-10-27 09:30:00,682.73,683.19,682.56,682.68,2415737.0,36019.0,682.862252,09:30:00
2025-10-27 09:35:00,682.69,682.89,682.115,682.835,1549275.0,22112.0,682.514236,09:35:00
2025-10-27 09:40:00,682.81,682.865,682.28,682.75,1105723.0,17991.0,682.55635,09:40:00
2025-10-27 09:45:00,682.76,682.9,682.48,682.6,805288.0,15303.0,682.699457,09:45:00
2025-10-27 09:50:00,682.61,683.0,682.33,682.955,819824.0,15833.0,682.735373,09:50:00
2025-10-27 09:55:00,682.975,683.23,682.7488,683.08,801548.0,15653.0,683.028617,09:55:00
2025-10-27 10:00:00,683.09,683.61,682.91,683.365,1200491.0,20143.0,683.252393,10:00:00
2025-10-27 10:05:00,683.36,683.6,683.355,683.395,844229.0,15747.0,683.479009,10:05:00
2025-10-27 10:10:00,683.4,683.41,683.02,683.23,661384.0,14381.0,683.22412,10:10:00
2025-10-27 10:15:00,683.24,683.27,682.53,682.5599,842647.0,15847.0,682.919984,10:15:00
2025-10-27 10:20:00,682.535,682.8,682.4,682.705,797606.0,15148.0,682.653448,10:20:00
2025-10-27 10:25:00,682.7,683.0607,682.515,683.03,1104991.0,12304.0,682.851268,10:25:00
2025-10-27 10:30:00,683.03,683.13,682.76,683.06,644649.0,11435.0,682.978351,10:30:00
2025-10-27 10:35:00,683.06,683.33,683.04,683.08,601890.0,18400.0,683.179795,10:35:00
2025-10-27 10:40:00,683.08,683.335,683.015,683.32,591152.0,11365.0,683.13791,10:40:00
2025-10-27 10:45:00,683.34,683.36,682.98,683.1,465794.0,10715.0,683.171407,10:45:00
2025-10-27 10:50:00,683.095,683.11,682.57,682.76,521443.0,10447.0,682.802414,10:50:00
2025-10-27 10:55:00,682.74,682.98,682.595,682.69,498255.0,9409.0,682.807222,10:55:00
2025-10-27 11:00:00,682.69,682.92,682.6101,682.78,601298.0,8736.0,682.736716,11:00:00
2025-10-27 11:05:00,682.78,682.85,682.55,682.62,318196.0,7596.0,682.704225,11:05:00
2025-10-27 11:10:00,682.62,683.05,682.62,683.04,516661.0,9107.0,682.858589,11:10:00
2025-10-27 11:15:00,683.04,683.1,682.865,682.99,510102.0,9798.0,682.977931,11:15:00
2025-10-27 11:20:00,682.9959,683.14,682.875,683.14,469448.0,9651.0,683.026311,11:20:00
2025-10-27 11:25:00,683.1301,683.37,683.1301,683.36,561841.0,9046.0,683.255386,11:25:00
2025-10-27 11:30:00,683.36,683.53,683.33,683.44,653898.0,10973.0,683.417006,11:30:00
2025-10-27 11:35:00,683.45,683.48,683.26,683.44,429192.0,9387.0,683.382946,11:35:00
2025-10-27 11:40:00,683.435,683.6,683.43,683.56,382251.0,8951.0,683.530812,11:40:00
2025-10-27 11:45:00,683.57,683.575,683.305,683.39,389435.0,8154.0,683.389055,11:45:00
2025-10-27 11:50:00,683.39,683.39,683.2,683.25,403138.0,8047.0,683.263905,11:50:00
2025-10-27 11:55:00,683.245,683.465,683.2,683.42,384600.0,8599.0,683.363913,11:55:00
2025-10-27 12:00:00,683.4124,683.71,683.39,683.705,495823.0,8710.0,683.59699,12:00:00
2025-10-27 12:05:00,683.7087,683.78,683.55,683.6801,533058.0,9177.0,683.687832,12:05:00
