timestamp,open,high,low,close,volume,trade_count,vwap,Time
2025-10-27 09:30:00,624.51,625.53,624.48,624.689,1860847.0,30070.0,625.093146,09:30:00
2025-10-27 09:35:00,624.69,625.17,624.03,625.0616,1398082.0,25460.0,624.509898,09:35:00
2025-10-27 09:40:00,625.08,625.2601,624.425,625.05,881029.0,18562.0,624.835584,09:40:00
2025-10-27 09:45:00,625.07,625.27,624.71,624.92,774187.0,15173.0,624.983732,09:45:00
2025-10-27 09:50:00,624.92,625.16,624.36,625.115,768714.0,16026.0,624.79814,09:50:00
2025-10-27 09:55:00,625.115,625.44,624.96,625.3,706195.0,12041.0,625.248633,09:55:00
2025-10-27 10:00:00,625.3,625.94,625.155,625.71,1089706.0,20411.0,625.601046,10:00:00
2025-10-27 10:05:00,625.71,625.91,625.62,625.76,800439.0,19100.0,625.768261,10:05:00
2025-10-27 10:10:00,625.73,625.74,625.28,625.565,682039.0,20283.0,625.526485,10:10:00
2025-10-27 10:15:00,625.57,625.695,624.89,624.95,699809.0,22124.0,625.273497,10:15:00
2025-10-27 10:20:00,624.94,625.21,624.7,625.01,612783.0,19626.0,624.933928,10:20:00
2025-10-27 10:25:00,625.01,625.8,624.89,625.795,669537.0,28689.0,625.300227,10:25:00
2025-10-27 10:30:00,625.79,626.065,625.53,625.92,738614.0,18635.0,625.812179,10:30:00
2025-10-27 10:35:00,625.9,626.23,625.855,626.09,762489.0,18784.0,626.113482,10:35:00
2025-10-27 10:40:00,626.1,626.29,626.035,626.27,502361.0,13943.0,626.159661,10:40:00
2025-10-27 10:45:00,626.28,626.34,625.7802,625.96,682823.0,16864.0,626.029581,10:45:00
2025-10-27 10:50:00,625.96,625.97,625.58,625.77,573233.0,14188.0,625.746214,10:50:00
2025-10-27 10:55:00,625.765,626.01,625.39,625.54,542349.0,15985.0,625.731904,10:55:00
2025-10-27 11:00:00,625.54,626.26,625.48,626.045,542479.0,16348.0,625.94796,11:00:00
2025-10-27 11:05:00,626.04,626.275,625.91,626.01,729988.0,14573.0,626.087549,11:05:00
2025-10-27 11:10:00,626.0,626.43,625.99,626.39,432542.0,13516.0,626.272071,11:10:00
2025-10-27 11:15:00,626.39,626.44,626.16,626.195,508509.0,13622.0,626.320866,11:15:00
2025-10-27 11:20:00,626.2,626.38,625.95,626.38,481653.0,11843.0,626.1777,11:20:00
2025-10-27 11:25:00,626.37,626.58,626.3,626.5,463817.0,12411.0,626.457389,11:25:00
2025-10-27 11:30:00,626.51,626.6399,626.4432,626.535,452379.0,9737.0,626.538819,11:30:00
2025-10-27 11:35:00,626.54,626.65,626.385,626.495,318036.0,10337.0,626.494408,11:35:00
2025-10-27 11:40:00,626.485,626.75,626.48,626.745,458619.0,12268.0,626.631291,11:40:00
2025-10-27 11:45:00,626.74,626.74,626.49,626.66,413631.0,11205.0,626.5988,11:45:00
2025-10-27 11:50:00,626.67,626.68,626.31,626.36,587213.0,12343.0,626.450019,11:50:00
2025-10-27 11:55:00,626.36,626.55,626.29,626.39,430551.0,11021.0,626.423622,11:55:00
