timestamp,open,high,low,close,volume,trade_count,vwap
2020-12-31,237.46,238.92,231.0267,232.73,24235596.0,260958.0,233.363366
2021-01-04,226.5,230.38,225.04,227.85,25292345.0,331433.0,227.205433
2021-01-05,229.05,240.76,228.12,240.4,37281345.0,368522.0,237.64416
2021-01-06,234.95,238.3,225.86,227.61,38806690.0,419278.0,231.363583
2021-01-07,229.31,229.95,220.09,226.9,52562641.0,479209.0,225.022529
2021-01-08,227.88,238.6,226.6833,236.19,36784270.0,373801.0,234.886134
2021-01-11,229.9,230.8245,225.86,227.37,25096504.0,261559.0,228.727147
2021-01-12,228.385,229.75,225.14,225.6,19457035.0,223825.0,227.338163
2021-01-13,229.94,240.49,226.29,235.3,39342492.0,383033.0,233.799379
2021-01-14,245.31,245.7,241.47,242.98,32381537.0,356652.0,243.876802
2021-01-15,246.25,246.99,242.1501,243.46,21761345.0,233645.0,244.139599
2021-01-19,250.01,252.88,246.99,251.65,25445647.0,250901.0,249.878524
2021-01-20,267.5,269.0,262.7,265.49,46693064.0,470994.0,266.277747
2021-01-21,264.13,264.6,257.9,260.0,21208841.0,206242.0,259.969785
2021-01-22,256.8,260.33,255.5,258.62,14151826.0,159792.0,258.426987
2021-01-25,263.62,265.2,257.85,261.38,21239838.0,237483.0,261.840754
2021-01-26,263.8,266.0,261.12,265.92,15298249.0,169589.0,263.998854
2021-01-27,265.13,265.92,259.95,260.25,17020138.0,215249.0,261.847386
2021-01-28,259.17,261.57,257.33,260.76,10660991.0,168251.0,260.102313
2021-01-29,256.03,258.9,252.3,253.83,15975924.0,203496.0,254.771412
2021-02-01,258.8,265.0,255.195,264.69,15833732.0,192610.0,260.788588
2021-02-02,264.57,265.0,254.04,254.5,31445337.0,375147.0,257.377902
2021-02-03,264.7,268.28,261.2501,263.43,30513937.0,344306.0,265.673272
2021-02-04,269.58,269.99,265.5576,266.96,18071701.0,200713.0,267.308459
2021-02-05,264.61,266.45,263.21,265.67,11438754.0,143646.0,264.826519
2021-02-08,264.98,265.0,261.82,262.59,11491321.0,143473.0,262.915611
2021-02-09,263.0,267.2,262.54,266.49,12783824.0,146540.0,265.701525
2021-02-10,268.7,270.4,264.6,267.79,13568888.0,170632.0,268.237739
2021-02-11,268.75,274.26,267.2,268.93,15554084.0,190118.0,270.967345
2021-02-12,269.09,270.25,265.6804,267.85,9547168.0,123125.0,268.240806
2021-02-16,271.0,274.29,270.4,270.7,17955663.0,186499.0,272.020312
2021-02-17,270.89,272.316,267.81,270.83,13664829.0,148567.0,270.044771
2021-02-18,265.23,266.18,262.33,264.51,16110719.0,153829.0,264.265247
2021-02-19,266.05,269.39,262.85,263.59,15147821.0,157769.0,264.972253
2021-02-22,257.99,259.46,254.0,254.0,15292614.0,194756.0,255.566121
2021-02-23,247.31,254.9,241.62,252.75,16338785.0,235134.0,248.762804
2021-02-24,251.98,252.0,248.1,250.34,14029795.0,152683.0,249.99393
2021-02-25,250.0,250.34,240.07,240.18,18605176.0,236039.0,244.213062
2021-02-26,244.63,244.9,237.65,237.76,19828306.0,204006.0,239.684474
2021-03-01,241.05,242.79,239.26,241.69,14669550.0,171883.0,240.934528
2021-03-02,238.79,241.2,234.27,234.42,15282962.0,198254.0,237.493324
2021-03-03,237.5,239.6086,234.4506,236.27,14070766.0,186697.0,236.694668
2021-03-04,235.0,236.37,228.36,230.5,24175368.0,264939.0,231.877814
2021-03-05,235.42,236.43,228.34,233.89,16526200.0,220019.0,232.598728
2021-03-08,229.02,230.81,226.53,226.69,18708864.0,228383.0,227.965869
2021-03-09,233.38,238.74,233.075,238.14,15964959.0,197608.0,236.813219
2021-03-10,241.0,241.325,233.64,234.3,11187679.0,152089.0,235.827984
2021-03-11,237.2,241.72,235.0,240.8,15904287.0,193962.0,239.528222
2021-03-12,233.695,235.45,229.7058,231.87,18201369.0,237583.0,231.435662
2021-03-15,228.41,230.45,226.26,230.28,14864624.0,215903.0,228.271522
2021-03-16,228.07,229.85,225.53,226.93,21919251.0,229278.0,227.437925
2021-03-17,226.5,235.63,225.81,233.34,17458802.0,220990.0,231.86813
2021-03-18,238.56,239.5,235.56,236.43,15299283.0,204592.0,237.17773
2021-03-19,239.66,241.6,236.8838,239.79,18304042.0,184800.0,239.705894
2021-03-22,235.855,238.53,235.0,237.12,12685948.0,137859.0,236.723258
2021-03-23,237.3,241.12,235.5,237.67,12993881.0,171561.0,238.842747
2021-03-24,236.83,237.3,229.24,229.59,16648413.0,225259.0,232.015672
2021-03-25,225.0,229.24,222.5,222.72,25488771.0,308603.0,224.909642
2021-03-26,222.2,229.239,220.42,227.26,22324427.0,278034.0,225.042112
2021-03-29,225.49,232.38,225.1,231.86,18708805.0,212514.0,229.922344
2021-03-30,229.27,230.45,226.64,229.25,15604481.0,183625.0,228.523257
2021-03-31,229.89,231.52,226.47,226.73,17889756.0,207020.0,228.633285
2021-04-01,230.68,231.25,223.5,224.36,24401965.0,291639.0,225.642706
2021-04-05,226.53,226.57,222.52,225.3,16084007.0,178856.0,224.700032
2021-04-06,226.03,232.0,225.74,230.57,18314266.0,221135.0,229.282475
2021-04-07,226.11,228.19,224.8,225.42,18513628.0,212368.0,225.85845
2021-04-08,228.5,229.42,226.62,228.24,12603245.0,177757.0,228.196196
2021-04-09,224.85,225.07,221.32,223.31,20113247.0,278255.0,222.642793
2021-04-12,237.89,244.91,236.65,244.01,59635243.0,589707.0,242.122225
2021-04-13,243.66,245.69,239.69,241.89,20793040.0,265034.0,242.737906
2021-04-14,244.37,245.09,238.65,239.23,12723320.0,182478.0,241.198814
2021-04-15,240.0,240.95,238.1268,239.09,11912421.0,172006.0,239.343553
2021-04-16,241.89,241.89,237.82,238.69,14361763.0,174332.0,238.929131
2021-04-19,237.22,237.22,234.78,234.78,198963.0,1.0,237.22
2021-04-20,232.87,234.63,228.4301,229.88,12093951.0,171779.0,230.395792
2021-04-21,229.33,229.49,226.0701,229.44,14879651.0,188793.0,227.819729
2021-04-22,228.765,234.0,227.8201,229.35,12638153.0,180000.0,231.077511
2021-04-23,230.65,233.0,230.51,232.08,10050641.0,130091.0,231.918246
2021-04-26,231.5,233.49,230.82,232.7,8150979.0,124411.0,232.242746
2021-04-27,233.44,236.93,232.08,235.92,12032739.0,157969.0,235.330832
2021-04-28,237.57,239.22,236.33,236.72,9655087.0,134760.0,237.641628
2021-04-29,237.79,238.05,232.6,234.18,9954514.0,145509.0,234.277606
2021-04-30,231.77,233.85,230.51,230.95,10793932.0,120449.0,231.693576
2021-05-03,231.27,236.1699,230.4052,230.71,14244443.0,160835.0,232.936735
2021-05-04,230.25,231.48,225.45,227.9,14033152.0,197322.0,227.559439
2021-05-05,228.0,229.3,226.73,226.78,11819598.0,116361.0,227.400513
2021-05-06,227.11,228.44,222.88,226.42,12903209.0,156444.0,226.28088
2021-05-07,227.9,228.79,225.05,225.31,10945573.0,146609.0,226.43818
2021-05-10,222.87,222.87,218.56,219.53,17266711.0,232420.0,219.941885
2021-05-11,213.71,221.39,213.0,221.38,14354294.0,201713.0,218.315181
2021-05-12,224.74,225.29,219.0,219.9,22750393.0,220873.0,220.850508
2021-05-13,213.15,215.5,204.39,206.08,51693898.0,603140.0,209.133622
2021-05-14,209.9235,210.94,206.02,209.51,32718025.0,327722.0,208.647509
2021-05-17,210.615,213.15,209.44,211.05,32148031.0,285639.0,211.030057
2021-05-18,212.5,215.17,211.42,213.72,32415040.0,296020.0,213.741199
2021-05-19,211.1,212.91,210.12,212.54,27032651.0,265967.0,211.368953
2021-05-20,212.995,217.63,212.63,216.99,31374478.0,273381.0,215.817475
2021-05-21,215.23,215.89,209.87,211.06,36943500.0,333974.0,211.304138
2021-05-24,210.03,212.01,208.7,210.44,24828406.0,231405.0,210.639457
2021-05-25,212.83,214.05,211.01,211.13,22225010.0,213088.0,212.176147
2021-05-26,212.3,213.75,211.54,211.78,15181463.0,183012.0,212.355274
2021-05-27,214.17,215.46,212.53,212.74,28970628.0,243847.0,213.585535
2021-05-28,212.76,214.53,212.06,213.96,15753199.0,151162.0,213.807926
2021-06-01,223.02,223.13,218.24,219.48,36927040.0,370242.0,220.113463
2021-06-02,219.43,219.94,217.46,219.59,19438652.0,189374.0,218.9318
2021-06-03,218.0,218.7,216.305,217.04,19604476.0,199913.0,217.001449
2021-06-04,218.28,219.08,217.14,219.02,14304491.0,146029.0,218.477037
2021-06-07,218.0,218.4,215.69,216.9,14933897.0,169824.0,216.726611
2021-06-08,217.29,218.23,214.74,215.82,15169946.0,170962.0,215.95427
2021-06-09,215.21,216.57,213.31,213.32,16523712.0,175628.0,214.649602
2021-06-10,213.5,214.8,212.21,213.07,17255075.0,194442.0,213.396901
2021-06-11,213.45,213.46,211.0,211.64,19748298.0,193610.0,211.715372
2021-06-14,212.25,215.165,212.2435,213.94,11406475.0,138232.0,213.72125
2021-06-15,214.17,214.49,209.64,210.06,12782990.0,169864.0,211.01007
2021-06-16,209.75,211.62,208.2256,209.32,11468547.0,164685.0,209.875198
2021-06-17,209.9,212.49,209.77,211.6,11934776.0,145013.0,211.409844
2021-06-18,212.01,213.84,210.59,212.3,14912178.0,159246.0,212.366128
2021-06-21,210.55,211.78,208.99,211.06,9631344.0,136987.0,210.649197
2021-06-22,210.42,211.66,209.86,211.32,11545852.0,129971.0,210.877956
2021-06-23,214.19,216.33,213.13,214.86,14976027.0,168174.0,214.983909
2021-06-24,216.99,219.58,215.56,218.38,16033862.0,150157.0,218.012721
2021-06-25,221.71,230.25,221.1,228.5,28159645.0,256239.0,225.20115
2021-06-28,229.5,230.89,226.72,228.59,14084320.0,181036.0,228.625044
2021-06-29,226.7,229.64,225.602,229.44,10775057.0,140233.0,227.949857
2021-06-30,226.99,227.98,225.68,226.78,10038900.0,143879.0,226.642662
2021-07-01,228.07,228.85,221.55,221.87,13709460.0,185902.0,223.540941
2021-07-02,219.16,219.5,216.46,217.75,13410021.0,179363.0,217.629172
2021-07-06,215.32,215.4,209.3733,211.6,24414775.0,316961.0,211.838949
2021-07-07,211.61,212.05,207.82,208.0,19092837.0,226418.0,209.417603
2021-07-08,201.71,202.28,198.26,199.85,35223546.0,437145.0,200.11219
2021-07-09,202.05,207.268,201.5,205.94,17593308.0,211628.0,205.154425
2021-07-12,203.9,206.455,203.02,205.48,11720991.0,163344.0,205.055585
2021-07-13,209.23,212.81,208.19,209.51,17804554.0,226075.0,210.526048
2021-07-14,215.5,216.35,211.03,211.5,20236121.0,221889.0,213.141844
2021-07-15,215.11,216.6,213.1606,214.76,14847155.0,192273.0,214.610392
2021-07-16,214.85,215.2,211.46,212.1,11630933.0,137113.0,212.390964
2021-07-19,206.1,209.08,203.24,208.91,16162845.0,240185.0,206.441859
2021-07-20,209.0,211.5,207.4668,210.59,11065864.0,119792.0,209.873746
2021-07-21,209.15,211.85,208.42,211.08,7808713.0,104873.0,210.481639
2021-07-22,212.64,216.39,212.6,214.04,11478284.0,132466.0,214.403738
2021-07-23,206.29,206.89,203.56,206.53,26516801.0,308426.0,205.171449
2021-07-26,198.37,198.575,190.88,191.76,56231713.0,680551.0,193.954058
2021-07-27,183.59,186.9,179.6701,186.07,59776438.0,666460.0,183.450702
2021-07-28,190.23,198.0,189.76,196.01,34919636.0,410009.0,194.078707
2021-07-29,201.045,201.14,194.91,197.54,23708074.0,288226.0,198.097846
2021-07-30,190.58,196.045,190.49,195.19,17847955.0,214178.0,194.41162
2021-08-02,196.27,202.07,196.25,200.09,18367968.0,221383.0,200.357093
2021-08-03,195.01,197.44,192.0,197.38,20371933.0,269829.0,195.153104
2021-08-04,197.49,203.275,196.91,200.71,22838560.0,250567.0,201.499195
2021-08-05,199.27,200.29,197.64,199.28,10230823.0,156252.0,199.126982
2021-08-06,199.25,199.32,195.68,196.39,12272759.0,168901.0,196.864232
2021-08-09,194.58,195.5,192.82,195.25,15136944.0,180659.0,194.436835
2021-08-10,197.27,198.45,195.0727,195.73,10310781.0,135889.0,196.369027
2021-08-11,196.6,196.92,194.73,194.86,9249143.0,130758.0,195.554784
2021-08-12,191.17,192.98,189.685,191.66,13255245.0,166797.0,190.933683
2021-08-13,188.61,189.26,186.71,188.62,16300565.0,210170.0,187.827432
2021-08-16,185.0,186.26,181.51,182.71,21299132.0,281866.0,183.14574
2021-08-17,175.92,177.89,173.15,173.73,41077001.0,477712.0,174.969514
2021-08-18,174.1,175.36,172.11,172.35,34563622.0,396839.0,173.651602
2021-08-19,166.7,167.2644,159.51,160.55,67201985.0,724208.0,162.557297
2021-08-20,164.12,166.93,155.5,157.96,72326024.0,682866.0,160.406533
2021-08-23,159.28,161.47,152.8,161.06,89624031.0,790407.0,156.797566
2021-08-24,169.04,174.1515,168.1575,171.7,63363774.0,639828.0,171.500375
2021-08-25,168.7,169.61,166.08,169.1,26439820.0,295050.0,167.54097
2021-08-26,167.46,168.45,164.82,165.24,19316165.0,220273.0,166.216656
2021-08-27,159.99,161.7699,158.55,159.47,32243146.0,373375.0,159.667959
2021-08-30,160.17,163.29,158.23,162.29,24043547.0,273264.0,160.973931
2021-08-31,167.7,169.0,166.14,166.99,25168212.0,272035.0,167.382647
2021-09-01,169.56,174.79,169.33,173.28,29901711.0,330612.0,173.122842
2021-09-02,178.01,178.18,171.67,172.0,29767604.0,308975.0,174.178215
2021-09-03,169.525,172.06,168.88,170.3,16717975.0,192130.0,170.828077
2021-09-07,174.15,176.84,173.37,175.16,25729859.0,268396.0,175.175716
2021-09-08,174.25,174.37,169.26,170.71,20554609.0,232104.0,170.692694
2021-09-09,167.3,169.04,165.58,167.32,17593414.0,216488.0,167.672137
2021-09-10,171.2,171.64,167.61,168.1,15284118.0,183801.0,169.39198
2021-09-13,164.49,166.8623,163.02,165.41,15838114.0,203307.0,165.057247
2021-09-14,162.86,163.069,159.48,160.15,21539921.0,254494.0,160.887849
2021-09-15,157.95,158.03,153.92,157.86,32171326.0,364458.0,156.006546
2021-09-16,154.92,157.6388,153.67,156.26,24643342.0,236706.0,156.022371
2021-09-17,158.48,160.38,158.09,160.05,26656074.0,239316.0,159.569329
2021-09-20,154.4,155.14,149.09,151.49,36790352.0,419831.0,151.654214
2021-09-21,151.58,152.58,149.571,150.18,20351634.0,215892.0,150.521023
2021-09-22,151.47,154.0,151.02,151.89,20671547.0,217806.0,152.258204
2021-09-23,152.58,152.68,149.61,151.19,25603368.0,241739.0,150.531166
2021-09-24,147.71,148.0,144.57,145.08,32842225.0,373793.0,145.604743
2021-09-27,144.92,150.99,144.44,150.18,24930775.0,255339.0,148.126837
2021-09-28,152.16,153.73,148.86,152.39,26653765.0,278314.0,151.360894
2021-09-29,150.46,152.1,147.48,147.58,17755465.0,224300.0,149.045986
2021-09-30,147.03,149.58,146.8644,148.05,15015962.0,166458.0,148.090117
2021-10-01,147.09,148.45,143.34,144.2,20825233.0,232691.0,144.493409
2021-10-04,141.7,141.9,138.43,139.63,25680278.0,297426.0,139.887423
2021-10-05,139.38,143.83,139.19,143.14,14311381.0,164442.0,142.450394
2021-10-06,140.56,144.892,139.96,144.1,15829432.0,164146.0,143.602736
2021-10-07,151.05,158.29,150.75,156.0,47530911.0,463112.0,155.814648
2021-10-08,159.86,162.78,157.91,161.52,34220817.0,336859.0,161.005078
2021-10-11,169.61,169.8,163.95,163.95,42596874.0,433831.0,166.350255
2021-10-12,163.825,165.73,162.24,163.0,24886622.0,234806.0,163.593194
2021-10-13,164.38,168.265,163.6,167.4,19490245.0,202801.0,166.705025
2021-10-14,168.26,168.99,164.46,166.78,17592011.0,171913.0,165.991539
2021-10-15,166.99,169.8,165.435,168.0,20974209.0,208862.0,167.793262
2021-10-18,166.58,169.25,166.58,166.82,19252662.0,164385.0,168.007391
2021-10-19,170.6,177.44,170.45,177.0,34453902.0,362126.0,174.524457
2021-10-20,180.95,182.09,176.1301,177.18,34589131.0,333410.0,178.391816
2021-10-21,177.0,179.78,176.71,177.42,16972355.0,170933.0,177.833274
2021-10-22,179.08,182.09,175.81,177.7,21833147.0,209397.0,178.482855
2021-10-25,178.0,178.0,176.17,176.17,522564.0,439.0,176.683601
2021-10-26,174.48,174.9,167.48,169.99,18394833.0,224362.0,170.827728
2021-10-27,167.53,172.45,167.34,169.23,12186012.0,159798.0,169.659558
2021-10-28,168.49,170.35,166.77,169.79,13617222.0,142330.0,169.486062
2021-10-29,167.07,168.56,162.72,164.94,18093088.0,220761.0,165.192762
2021-11-01,165.84,171.895,165.8,170.17,18392016.0,202349.0,169.798831
2021-11-02,167.1,167.1,162.76,162.9,20017550.0,237004.0,163.857233
2021-11-03,165.36,166.65,163.11,166.24,15176948.0,158552.0,165.510147
2021-11-04,169.28,169.94,164.5,164.79,17289363.0,186284.0,165.921221
2021-11-05,164.795,164.795,158.3,158.73,22464267.0,303093.0,160.120792
2021-11-08,161.765,162.16,159.48,162.16,17009608.0,207812.0,160.983675
2021-11-09,162.16,164.48,159.54,160.19,14572755.0,176876.0,161.134311
2021-11-10,163.68,166.48,161.82,163.97,17704851.0,210563.0,164.421314
2021-11-11,166.56,169.63,166.56,167.85,17718614.0,193144.0,168.115296
2021-11-12,165.1735,167.8,163.4,166.81,14304536.0,161319.0,165.569359
2021-11-15,167.22,168.46,165.67,166.54,10309692.0,128125.0,166.902547
2021-11-16,168.6,169.94,166.67,168.43,12649924.0,148204.0,168.357944
2021-11-17,168.02,168.3,161.135,161.58,19601220.0,230256.0,162.808573
2021-11-18,146.91,148.5,141.89,143.6,63082092.0,714375.0,144.739089
2021-11-19,143.04,145.06,140.0,140.34,29254495.0,348282.0,141.307649
2021-11-22,139.9,140.7,135.21,136.62,27394999.0,335534.0,137.550005
2021-11-23,136.032,136.8499,133.31,133.66,26527242.0,280987.0,134.462061
2021-11-24,133.1,136.76,131.22,136.52,20766502.0,222311.0,134.604444
2021-11-26,132.93,133.9804,131.22,133.35,15351935.0,194693.0,132.668646
2021-11-29,134.25,134.55,130.55,131.61,19350567.0,231165.0,131.952594
2021-11-30,129.9008,131.32,126.13,127.53,34400531.0,399521.0,127.997981
2021-12-01,128.37,129.155,121.9,122.49,30367912.0,363231.0,125.18694
2021-12-02,123.02,125.0,119.3401,122.0,35280051.0,348958.0,122.270956
2021-12-03,118.0,118.19,108.7,111.96,69683766.0,684247.0,112.395543
2021-12-06,113.64,123.82,113.43,123.6,44492695.0,436168.0,119.833162
2021-12-07,129.3,129.4499,123.4601,125.54,41133553.0,384527.0,125.647988
2021-12-08,123.21,126.97,121.32,125.08,23172485.0,231871.0,124.960154
2021-12-09,124.63,127.76,123.2117,123.91,27184481.0,200069.0,124.709683
2021-12-10,123.22,125.21,122.7797,125.06,15880596.0,157548.0,124.077299
2021-12-13,123.0,123.25,119.75,122.24,16530895.0,189423.0,121.830679
