timestamp,open,high,low,close,volume,trade_count,vwap,Date,Time
2025-08-11 09:30:00,574.68,575.25,573.83,575.02,2673800.0,41705.0,574.554837,2025-08-11,09:30:00
2025-08-11 09:45:00,575.02,575.38,574.505,575.36,1433214.0,20751.0,574.974801,2025-08-11,09:45:00
2025-08-11 10:00:00,575.38,575.72,574.84,575.41,1587711.0,27333.0,575.308711,2025-08-11,10:00:00
2025-08-11 10:15:00,575.41,575.925,575.28,575.55,1183688.0,21020.0,575.656894,2025-08-11,10:15:00
2025-08-11 10:30:00,575.56,575.765,575.3,575.605,690583.0,13435.0,575.510611,2025-08-11,10:30:00
2025-08-11 10:45:00,575.62,575.69,574.765,574.95,931959.0,15251.0,575.187753,2025-08-11,10:45:00
2025-08-11 11:00:00,574.94,575.42,574.65,575.42,781721.0,12287.0,574.999984,2025-08-11,11:00:00
2025-08-11 11:15:00,575.42,575.52,575.04,575.12,716683.0,10395.0,575.275532,2025-08-11,11:15:00
2025-08-11 11:30:00,575.08,575.34,574.685,575.0,740720.0,11743.0,575.041781,2025-08-11,11:30:00
2025-08-11 11:45:00,575.0,575.83,574.87,575.825,953482.0,13337.0,575.445068,2025-08-11,11:45:00
2025-08-11 12:00:00,575.825,576.8,575.67,576.3707,1326000.0,15020.0,576.232708,2025-08-11,12:00:00
2025-08-11 12:15:00,576.39,576.55,576.0801,576.345,677672.0,9008.0,576.26869,2025-08-11,12:15:00
2025-08-11 12:30:00,576.35,576.442,575.28,575.32,873221.0,10468.0,575.895939,2025-08-11,12:30:00
2025-08-11 12:45:00,575.32,575.7,575.15,575.185,694137.0,9013.0,575.397991,2025-08-11,12:45:00
2025-08-11 13:00:00,575.18,575.58,575.1119,575.1593,673288.0,9038.0,575.363224,2025-08-11,13:00:00
2025-08-11 13:15:00,575.16,575.3099,574.885,574.995,581971.0,7707.0,575.077121,2025-08-11,13:15:00
2025-08-11 13:30:00,574.99,575.1899,574.13,574.53,960492.0,13400.0,574.645535,2025-08-11,13:30:00
2025-08-11 13:45:00,574.54,574.605,574.03,574.245,650746.0,9421.0,574.340842,2025-08-11,13:45:00
2025-08-11 14:00:00,574.25,574.33,573.71,574.11,1195129.0,13039.0,573.98547,2025-08-11,14:00:00
2025-08-11 14:15:00,574.11,574.32,573.73,573.885,827968.0,11834.0,574.040768,2025-08-11,14:15:00
2025-08-11 14:30:00,573.88,574.28,573.26,573.26,762754.0,10715.0,574.003507,2025-08-11,14:30:00
2025-08-11 14:45:00,573.26,574.11,573.12,573.98,849489.0,10529.0,573.715497,2025-08-11,14:45:00
2025-08-11 15:00:00,573.98,574.07,573.54,573.59,551269.0,7798.0,573.807502,2025-08-11,15:00:00
2025-08-11 15:15:00,573.59,573.68,573.21,573.38,709681.0,9583.0,573.442262,2025-08-11,15:15:00
2025-08-11 15:30:00,573.385,573.528,572.9199,573.07,1065734.0,13408.0,573.150836,2025-08-11,15:30:00
2025-08-11 15:45:00,573.07,573.09,571.57,572.76,4982699.0,42216.0,572.3886,2025-08-11,15:45:00
2025-08-11 16:00:00,572.77,573.02,572.48,572.54,2725021.0,5541.0,572.790993,2025-08-11,16:00:00
2025-08-12 09:30:00,575.16,576.94,574.61,575.27,4120072.0,51725.0,575.849906,2025-08-12,09:30:00
2025-08-12 09:45:00,575.27,575.87,573.14,573.26,3355530.0,42033.0,574.477163,2025-08-12,09:45:00
2025-08-12 10:00:00,573.28,574.92,572.485,574.85,2620267.0,40834.0,573.637597,2025-08-12,10:00:00
2025-08-12 10:15:00,574.87,575.85,574.72,575.65,1612704.0,24478.0,575.38752,2025-08-12,10:15:00
2025-08-12 10:30:00,575.65,575.97,575.4,575.7,1061347.0,17843.0,575.707891,2025-08-12,10:30:00
2025-08-12 10:45:00,575.69,576.32,575.15,576.21,1125749.0,16185.0,575.838622,2025-08-12,10:45:00
2025-08-12 11:00:00,576.21,577.5913,576.135,577.3599,2077929.0,22005.0,576.965149,2025-08-12,11:00:00
2025-08-12 11:15:00,577.38,578.22,577.38,577.56,1895387.0,21888.0,577.89008,2025-08-12,11:15:00
2025-08-12 11:30:00,577.56,578.1999,577.27,578.06,1499091.0,16190.0,577.79887,2025-08-12,11:30:00
2025-08-12 11:45:00,578.07,578.47,577.79,578.4,909246.0,12534.0,578.125114,2025-08-12,11:45:00
2025-08-12 12:00:00,578.398,578.4,577.8855,578.14,698614.0,9338.0,578.062389,2025-08-12,12:00:00
